,SpecimenID,continent,SporeO1,SporeO2,SporeO3,SporeO4,SporeP0,SporeP1,SporeP2,SporeP3,SporeD0,SporeD1,SporeD2,SporeD3,SporeD4,SporeLength,SporeWidth,SporeQ,CheiloLength,CheiloWidth,CheiloQ_AM,CheiloQ_AB,CheiloQ_BM,BasidiaQ,NoOfCompleteLamellae,Latitude,Longitude,Altitude,CheiloCylindrical,CheiloVentiLagen,CheiloClavateGently,CheiloClavateStipitate,CheiloClavateVentricose,CheiloPyriBalloon,Pinaceae,Salicaceae,Fagaceae,Species,Section
0,1,Europe,0,1,1,0,0,1,0,0,1,0,0,0,0,0.266873278,0.300275482,0.412362259,0.952883528,0.93091378,0.838347296,0.924219345,0.061667301,,0.900554675,0.642365887,0.372764787,0.329494672,0,0,0,1,0,0,0,1,0,geminatum,Denudata-Crustuliniformia
1,2,Europe,0,0,1,0,0,1,0,0,1,0,0,0,0,0.307506887,0.355027548,0.447486226,0.960422164,0.93091378,0.982673267,0.933168317,0.307955843,,0.978209192,0.774587345,0.673830812,0.301478171,0,0,0,1,0,0,0,1,0,aanenii,Denudata-Crustuliniformia
2,3,Europe,0,1,1,0,0,1,0,0,0,1,0,0,0,0.285296143,0.300275482,0.518078512,0.756502073,0.922991894,0.928408225,0.951827875,0.093262276,,0.954437401,0.627407153,0.377407153,0.359229976,0,0,0,1,0,0,0,1,0,geminatum,Denudata-Crustuliniformia
3,4,Europe,0,0,1,0,0,1,1,0,0,1,1,0,0,0.430096419,0.300275482,0.778236915,0.340557859,0.213154016,0.500952018,0.386519421,0.570993529,,0.47385103,0.627407153,0.377407153,0.359229976,0,1,0,0,1,0,0,1,0,ingratum,Denudata-Clepsydroida
4,5,Europe,1,0,0,0,1,0,0,0,,,,,,,,,,,,,,,,0.645460798,0.382049519,0.368683396,,,,,,,,,,mesophaeum,Hebeloma-Hebeloma
5,6,Europe,0,0,1,1,0,1,1,0,0,0,0,1,0,0.891701102,0.893939394,0.48415978,0.266302299,0.798268239,0.734577304,0.641469916,0.553863723,,0.343898574,0.696698762,0.278885832,0.021313166,0,0,0,1,1,0,0,1,0,vaccinum,Denudata-Clepsydroida
6,7,Europe,0,1,1,0,1,0,0,0,0,0,1,1,0,0.827134986,0.872245179,0.412362259,0.516396532,0.922991894,0.922886519,0.89737243,0.289303388,0.215874621,0.120839937,0.696698762,0.278885832,0.021313166,0,0,0,1,1,0,0,1,0,salicicola,Denudata-Crustuliniformia
7,8,Europe,0,0,1,1,0,0,1,0,0,0,0,1,0,0.917871901,0.652376033,0.9375,0.266302299,0.63614591,0.500952018,0.285795887,0.807955843,,,0.696698762,0.278885832,0.021313166,0,1,0,0,1,0,0,1,0,vaccinum,Denudata-Clepsydroida
8,9,Europe,0,1,0,0,1,0,0,0,0,0,1,1,0,0.351756198,0.604855372,0.108815427,0.788918206,0.112380251,0.25,0.079398324,0.960411115,,0.391442155,0.678473177,0.32221458,0.525438295,1,1,0,0,0,0,,,,sordescens,Hebeloma-Amygdalina
9,10,Europe,0,0,1,1,0,0,1,1,0,0,0,0,1,0.228650138,0.212465565,0.48415978,0.160572936,0.112380251,0.200875857,0.404607768,0.26703464,,0.433637084,0.794188446,0.294532325,0.679958749,1,0,0,0,0,0,1,0,0,birrus,Scabrispora
10,11,Europe,0,1,0,0,1,0,0,0,0,0,1,0,0,0.784951791,0.738464187,0.632575758,0.381643423,0.112380251,0.033891851,0.00990099,0.975827941,,0.31358954,,,0.329494672,0,1,0,0,0,0,,,,palustre,Hebeloma-Amygdalina
11,12,Europe,0,1,1,0,0,1,0,0,1,1,0,0,0,,,,,,,,,,,0.645460798,0.382049519,0.368683396,,,,,,,0,0,0,hiemale,Denudata-Hiemalia
12,13,Europe,0,0,0,1,0,0,0,1,0,0,0,0,1,0.351756198,0.652376033,0.130165289,0.238220882,0.36366986,0.365765423,0.516184311,0.433764751,,0.45225832,0.645460798,0.382049519,0.368683396,1,1,0,0,0,0,0,0,0,sacchariolens,Sacchariolentia
13,14,Europe,0,0,1,0,1,0,0,0,0,0,1,0,0,,,,,,,,,,,0.678817056,0.322902338,0.566173943,,,,,,,0,0,1,pseudofragilipes,Denudata-Clepsydroida
14,15,Europe,0,1,0,0,1,1,0,0,0,0,1,0,0,0.630681818,0.50327135,0.757403581,0.516396532,0.737288136,0.879855293,0.813594821,0.386943281,,0.229397781,0.638927098,0.387895461,0.229460296,0,0,0,1,1,0,0,1,0,lutense,Denudata-Crustuliniformia
15,16,Europe,0,0,1,0,0,1,0,0,0,0,1,0,0,0.47899449,0.300275482,0.846590909,0.302299284,0.336772292,0.564546839,0.468583397,0.498667682,,0.900554675,0.689821183,0.328748281,0.329494672,0,0,0,0,1,0,,,,cavipes,Denudata-Clepsydroida
16,17,Europe,0,0,1,0,0,1,0,0,1,0,0,0,0,0.103477961,0.070075758,0.578512397,0.381643423,0.877671334,0.862147753,0.982482864,0.009897221,,0.229397781,0.687757909,0.320839065,0.389309041,0,0,0,1,0,0,0,0,1,helodes,Denudata-Crustuliniformia
17,18,Europe,0,0,1,0,1,0,0,0,0,0,0,1,0,0.601239669,0.738464187,0.29011708,0.556916698,0.77229182,0.676694593,0.697258187,0.402740769,,0.643819334,0.648727648,0.378094911,0.280680646,0,0,1,1,1,0,0,0,1,leucosarx,Velutipes
18,19,Europe,0,0,1,0,0,0,1,0,0,0,0,0,1,0.601239669,0.454717631,0.804407713,0.423105918,0.737288136,0.344630617,0.730959634,0.0323563,,0.150356577,0.648727648,0.378094911,0.280680646,1,0,0,0,0,0,,,,ischnostylum,Sacchariolentia
19,20,Europe,0,1,1,0,1,1,0,0,1,1,0,0,0,0.266873278,0.212465565,0.658057851,0.756502073,0.99963154,0.999238385,0.998857578,0.035401599,,0.229397781,0.679160935,0.321870702,0.530594706,0,0,0,1,0,0,0,1,0,helodes,Denudata-Crustuliniformia
20,21,Europe,0,0,0,1,0,0,1,0,0,0,0,0,1,,,,,,,,,,,0.645460798,0.382049519,0.368683396,,,,,,,0,0,0,sacchariolens,Sacchariolentia
21,22,Europe,0,0,1,0,1,0,0,0,0,0,0,1,0,0.161329201,0.212465565,0.321625344,0.044289484,0.09119381,0.16507997,0.341203351,0.379330034,,0.87836767,0.657152682,0.374140303,0.573221038,1,1,0,0,0,0,0,0,0,laterinum,Scabrispora
22,23,Europe,0,0,1,0,0,0,1,1,0,0,0,0,1,0.737258953,0.814566116,0.355544077,0.696569921,0.889646279,0.3229246,0.516184311,0.255424439,0.394843276,0.229397781,0.645460798,0.382049519,0.368683396,1,0,1,0,0,0,0,0,0,sacchariolens,Sacchariolentia
23,24,Europe,0,1,1,0,0,1,0,0,0,1,1,0,0,0.630681818,0.454717631,0.804407713,0.595175273,0.586956522,0.782559025,0.70258949,0.468405025,0.137259858,0.433637084,0.645460798,0.382049519,0.368683396,0,1,0,0,1,0,0,0,0,hiemale,Denudata-Hiemalia
24,25,Europe,0,0,1,0,0,0,1,1,0,0,0,1,1,0.737258953,0.698174931,0.632575758,0.028458349,0.534635225,0.055788271,0.765232292,0.003616292,0.757077856,0.088153724,0.645460798,0.382049519,0.368683396,0,1,1,0,0,1,0,0,0,sacchariolens,Sacchariolentia
25,26,Europe,0,1,0,0,1,0,0,0,0,0,0,1,0,0.630681818,0.846935262,0.130165289,0.756502073,0.811348563,0.734577304,0.760853008,0.346783403,,0.643819334,0.657152682,0.374140303,0.573221038,0,0,1,1,0,0,0,0,0,velutipes,Velutipes
