hiemale,Denudata-Hiemalia,{Europe: 59.06%; Northern America: 38.13%; Asia-Temperate: 1.56%; Australasia: 1.25%; }
louiseae,Denudata-Crustuliniformia,{Europe: 50%; Northern America: 50%; }
cistophilum,Hebeloma-Hebeloma,{Europe: 66.3%; Asia-Temperate: 30.43%; Africa: 3.26%; }
aanenii,Denudata-Crustuliniformia,{Europe: 87.05%; Northern America: 5.76%; Asia-Temperate: 5.04%; Australasia: 1.44%; Asia-Tropical: 0.72%; }
aestivale,Velutipes,{Europe: 100%; }
alboerumpens,Theobromina,{Europe: 100%; }
alpinum,Denudata-Crustuliniformia,{Europe: 57%; Northern America: 41.06%; Asia-Temperate: 1.93%; }
ammophilum,Denudata-Clepsydroida,{Europe: 100%; }
anthracophilum,Scabrispora,{Europe: 86.36%; Asia-Temperate: 13.64%; }
aurantioumbrinum,Denudata-Crustuliniformia,{Northern America: 70.33%; Europe: 18.68%; Asia-Temperate: 10.99%; }
birrus,Scabrispora,{Europe: 100%; }
bulbiferum,Sinapizantia,{Europe: 100%; }
catalaunicum,Naviculospora,{Europe: 100%; }
cavipes,Denudata-Clepsydroida,{Europe: 83.74%; Northern America: 11.38%; Australasia: 3.79%; Asia-Temperate: 1.08%; }
celatum,Velutipes,{Europe: 92.91%; Asia-Temperate: 7.09%; }
circinans,Scabrispora,{Europe: 92.86%; Asia-Temperate: 7.14%; }
crustuliniforme,Denudata-Crustuliniformia,{Northern America: 48.08%; Europe: 41.35%; Asia-Temperate: 4.81%; Australasia: 3.85%; Africa: 0.96%; Southern America: 0.96%; }
cylindrosporum,Scabrispora,{Europe: 90.24%; Africa: 4.88%; Asia-Temperate: 4.88%; }
danicum,Scabrispora,{Europe: 66.67%; Asia-Temperate: 33.33%; }
duracinoides,Duracinus,{Europe: 100%; }
eburneum,Denudata-Crustuliniformia,{Northern America: 53.36%; Europe: 44.39%; Africa: 0.9%; Asia-Temperate: 0.9%; Southern America: 0.45%; }
echinosporum,Denudata-Echinospora,{Europe: 100%; }
erebium,Velutipes,{Europe: 100%; }
erumpens,Theobromina,{Europe: 100%; }
fuscatum,Hebeloma-Amygdalina,{Europe: 57.69%; Northern America: 42.31%; }
fusisporum,Sacchariolentia,{Europe: 100%; }
geminatum,Denudata-Crustuliniformia,{Europe: 95.83%; Northern America: 4.17%; }
grandisporum,Hebeloma-Amygdalina,{Northern America: 80%; Europe: 20%; }
griseopruinatum,Theobromina,{Europe: 100%; }
helodes,Denudata-Crustuliniformia,{Europe: 79.66%; Northern America: 20.34%; }
incarnatulum,Velutipes,{Northern America: 58%; Europe: 42%; }
ingratum,Denudata-Clepsydroida,{Northern America: 57.69%; Europe: 35.58%; Asia-Temperate: 6.73%; }
ischnostylum,Sacchariolentia,{Europe: 64.86%; Northern America: 35.14%; }
islandicum,Islandicus,{Europe: 75%; Northern America: 25%; }
laetitiae,Denudata-Clepsydroida,{Europe: 100%; }
laterinum,Scabrispora,{Europe: 99.21%; Asia-Temperate: 0.79%; }
leucosarx,Velutipes,{Europe: 61.05%; Northern America: 36.84%; Asia-Temperate: 1.58%; Africa: 0.53%; }
limbatum,Denudata-Clepsydroida,{Europe: 70.53%; Northern America: 26.32%; Asia-Temperate: 3.16%; }
lindae,Scabrispora,{Europe: 100%; }
luteicystidiatum,Denudata-Crustuliniformia,{Europe: 81.82%; Northern America: 18.18%; }
lutense,Denudata-Crustuliniformia,{Europe: 99.02%; Northern America: 0.98%; }
marginatulum,Hebeloma-Hebeloma,{Northern America: 53.59%; Europe: 38.12%; Asia-Temperate: 8.29%; }
matritense,Denudata-Clepsydroida,{Europe: 100%; }
melleum,Scabrispora,{Europe: 66.67%; Northern America: 33.33%; }
mesophaeum,Hebeloma-Hebeloma,{Europe: 68.09%; Northern America: 23.82%; Asia-Temperate: 3.82%; Australasia: 3.6%; Southern America: 0.45%; Asia-Tropical: 0.22%; }
minus,Denudata-Crustuliniformia,{Europe: 66.67%; Northern America: 33.33%; }
monticola,Hebeloma-Amygdalina,{Europe: 60%; Northern America: 40%; }
nanum,Naviculospora,{Northern America: 46.34%; Europe: 41.46%; Asia-Temperate: 7.32%; Asia-Tropical: 4.88%; }
nauseosum,Sacchariolentia,{Europe: 100%; }
naviculosporum,Naviculospora,{Europe: 76.92%; Northern America: 23.08%; }
nigellum,Hebeloma-Amygdalina,{Europe: 55.56%; Northern America: 40.28%; Asia-Temperate: 4.17%; }
odoratissimum,Sacchariolentia,{Europe: 100%; }
pallidolabiatum,Denudata-Crustuliniformia,{Northern America: 57.14%; Europe: 42.86%; }
parvicystidiatum,Theobromina,{Europe: 100%; }
perexiguum,Denudata-Crustuliniformia,{Europe: 100%; }
plesiocistum,Theobromina,{Europe: 100%; }
populinum,Denudata-Echinospora,{Europe: 100%; }
porphyrosporum,Porphyrospora,{Europe: 79.41%; Asia-Temperate: 17.65%; Africa: 2.94%; }
psammophilum,Hebeloma-Hebeloma,{Europe: 100%; }
pseudoamarescens,Pseudoamarescens,{Europe: 100%; }
pseudofragilipes,Denudata-Clepsydroida,{Europe: 98.16%; Australasia: 1.84%; }
pubescens,Hebeloma-Hebeloma,{Europe: 41.67%; Northern America: 41.67%; Asia-Temperate: 16.67%; }
pumilum,Scabrispora,{Europe: 97.22%; Asia-Temperate: 2.78%; }
pusillum,Denudata-Crustuliniformia,{Europe: 100%; }
quercetorum,Velutipes,{Europe: 98.15%; Asia-Temperate: 1.85%; }
radicosum,Myxocybe,{Europe: 100%; }
rostratum,Denudata-Echinospora,{Europe: 96%; Australasia: 4%; }
sacchariolens,Sacchariolentia,{Europe: 74.14%; Northern America: 19.83%; Asia-Temperate: 4.31%; Australasia: 1.72%; }
salicicola,Denudata-Crustuliniformia,{Europe: 96.49%; Asia-Temperate: 1.75%; Northern America: 1.75%; }
sinapizans,Sinapizantia,{Europe: 90.05%; Asia-Temperate: 9.95%; }
sordescens,Hebeloma-Amygdalina,{Europe: 97.5%; Asia-Temperate: 2.5%; }
spetsbergense,Hebeloma-Amygdalina,{Northern America: 55.29%; Asia-Temperate: 27.06%; Europe: 17.65%; }
subconcolor,Velutipes,{Northern America: 60%; Europe: 40%; }
subtortum,Hebeloma-Hebeloma,{Europe: 61.29%; Asia-Temperate: 20.16%; Africa: 18.55%; }
syrjense,Syrjense,{Europe: 86.67%; Northern America: 13.33%; }
theobrominum,Theobromina,{Europe: 90.24%; Asia-Temperate: 7.32%; Asia-Tropical: 2.44%; }
vaccinum,Denudata-Clepsydroida,{Europe: 82.93%; Northern America: 17.07%; }
velutipes,Velutipes,{Europe: 60.31%; Northern America: 29.31%; Asia-Temperate: 6.73%; Australasia: 3.51%; Southern America: 0.14%; }
vesterholtii,Theobromina,{Europe: 100%; }
flavidifolium,Porphyrospora,{Asia-Tropical: 100%; }
albidulum,Velutipes,{Northern America: 100%; }
albomarginatum,Sinapizantia,{Northern America: 100%; }
album,Denudata-Clepsydroida,{Northern America: 54.84%; Europe: 45.16%; }
alpinicola,Hebeloma-Hebeloma,{Northern America: 68.87%; Europe: 19.21%; Asia-Temperate: 11.92%; }
angelesiense,Hebeloma-Hebeloma,{Northern America: 100%; }
australe,Australe,{Northern America: 100%; }
avellaneum,Naviculospora,{Northern America: 81.25%; Asia-Temperate: 18.75%; }
bellotianum,Denudata-Crustuliniformia,{Northern America: 100%; }
caulocystidiosum,Velutipes,{Northern America: 100%; }
colvinii,Hebeloma-Hebeloma,{Northern America: 100%; }
excedens,Hebeloma-Hebeloma,{Northern America: 97.94%; Europe: 1.55%; Southern America: 0.52%; }
harperi,Hebeloma-Hebeloma,{Northern America: 100%; }
immutabile,Scabrispora,{Northern America: 100%; }
kelloggense,Theobromina,{Northern America: 100%; }
mackinawense,Velutipes,{Northern America: 100%; }
nitidum,Scabrispora,{Northern America: 100%; }
olympianum,Scabrispora,{Northern America: 100%; }
parcivelum,Scabrispora,{Northern America: 100%; }
pascuense,Hebeloma-Hebeloma,{Northern America: 100%; }
praeolidum,Hebeloma-Amygdalina,{Northern America: 100%; }
pungens,Naviculospora,{Northern America: 100%; }
